i =    0, x = 12.38, y = 7.32, z = 7.58
i = 1206, x = -1.16, y = 0.74, z = 16.40
i = 1209, x = 0.96, y = 7.32, z = 16.40
i = 1212, x = -1.16, y = 7.32, z = 16.40
i = 1215, x = -12.40, y = 0.74, z = -16.40
i = 1218, x = -11.22, y = 7.32, z = -16.40
i = 1221, x = -11.22, y = 0.74, z = -16.40
i = 1224, x = 6.23, y = 0.74, z = 16.40
i = 1227, x = 8.87, y = 7.32, z = 16.40
i = 1230, x = 6.23, y = 7.32, z = 16.40
i = 1233, x = 11.51, y = 0.74, z = 16.40
i = 1236, x = 12.38, y = 7.32, z = 16.40
i = 1239, x = 11.51, y = 7.32, z = 16.40
i = 1242, x = 12.38, y = 7.32, z = 4.94
i = 1245, x = 12.39, y = 0.74, z = -15.53
i = 1248, x = 12.38, y = 7.32, z = -15.53
i = 1251, x = -11.21, y = 7.32, z = 5.86
i = 1254, x = -5.19, y = 7.76, z = 5.86
i = 1257, x = -11.21, y = 7.76, z = 5.86
i = 1260, x = -11.22, y = 0.74, z = -16.40
i = 1263, x = 11.51, y = 7.32, z = -16.40
i = 1266, x = 11.51, y = 0.74, z = -16.40
i = 1269, x = -12.40, y = 7.31, z = -15.53
i = 1272, x = -12.38, y = 7.75, z = 4.98
i = 1275, x = -12.40, y = 7.75, z = -15.53
i = 1278, x = -5.19, y = 7.32, z = 16.40
i = 1281, x = -4.31, y = 7.76, z = 16.40
i = 1284, x = -5.19, y = 7.76, z = 16.40
i = 1287, x = 12.38, y = 7.32, z = 15.53
i = 1290, x = 12.38, y = 7.76, z = 16.40
i = 1293, x = 12.38, y = 7.32, z = 16.40
i = 1296, x = -4.31, y = 7.32, z = 16.40
i = 1299, x = -1.16, y = 7.76, z = 16.40
i = 1302, x = -4.31, y = 7.76, z = 16.40
i = 1305, x = 6.23, y = 7.32, z = 16.40
i = 1308, x = 8.87, y = 7.76, z = 16.40
i = 1311, x = 6.23, y = 7.76, z = 16.40
i = 1314, x = -5.19, y = 7.32, z = 15.53
i = 1317, x = -5.19, y = 7.76, z = 16.40
i = 1320, x = -5.19, y = 7.76, z = 15.53
i = 1323, x = -11.22, y = 7.32, z = -15.53
i = 1326, x = -11.22, y = 7.75, z = 4.98
i = 1329, x = -11.22, y = 7.32, z = 4.98
i = 1332, x = 8.87, y = 7.32, z = 16.40
i = 1335, x = 11.51, y = 7.76, z = 16.40
i = 1338, x = 8.87, y = 7.76, z = 16.40
i = 1341, x = -12.38, y = 7.32, z = 5.86
i = 1344, x = -12.38, y = 7.75, z = 4.98
i = 1347, x = -12.38, y = 7.31, z = 4.98
i = 1350, x = -12.40, y = 7.32, z = -16.40
i = 1353, x = -12.40, y = 7.75, z = -15.53
i = 1356, x = -12.40, y = 7.76, z = -16.40
i = 1359, x = 0.96, y = 7.32, z = 16.40
i = 1362, x = 3.60, y = 7.76, z = 16.40
i = 1365, x = 0.96, y = 7.76, z = 16.40
i = 1368, x = 12.38, y = 7.32, z = -16.40
i = 1371, x = 12.38, y = 7.76, z = -15.53
i = 1374, x = 12.38, y = 7.32, z = -15.53
i = 1377, x = 11.51, y = 7.76, z = 4.98
i = 1380, x = 11.51, y = 7.32, z = -15.53
i = 1383, x = 11.51, y = 7.32, z = 4.98
i = 1386, x = 12.38, y = 7.76, z = 4.94
i = 1389, x = 12.38, y = 7.32, z = -15.53
i = 1392, x = 12.38, y = 7.76, z = -15.53
i = 1395, x = -11.22, y = 0.29, z = -16.40
i = 1398, x = -11.22, y = -4.99, z = -16.40
i = 1401, x = -12.40, y = 0.29, z = -16.40
i = 1404, x = 11.51, y = -6.74, z = -16.40
i = 1407, x = 12.39, y = 0.29, z = -16.40
i = 1410, x = 12.39, y = -6.74, z = -16.40
i = 1413, x = 12.39, y = -5.02, z = 15.53
i = 1416, x = 12.39, y = -6.74, z = 16.40
i = 1419, x = 12.39, y = -6.74, z = 15.53
i = 1422, x = 12.39, y = -1.31, z = 12.78
i = 1425, x = 11.51, y = -1.31, z = 9.73
i = 1428, x = 12.39, y = -1.31, z = 9.73
i = 1431, x = 12.39, y = -1.51, z = 14.65
i = 1434, x = 12.39, y = -5.02, z = 12.78
i = 1437, x = 12.39, y = -1.31, z = 12.78
i = 1440, x = 12.39, y = 0.29, z = 9.73
i = 1443, x = 11.51, y = -1.31, z = 9.73
i = 1446, x = 12.39, y = -1.31, z = 9.73
i = 1449, x = 12.39, y = -1.31, z = 12.78
i = 1452, x = 12.39, y = 0.29, z = 9.73
i = 1455, x = 12.39, y = 0.29, z = 12.78
i = 1458, x = 11.51, y = -1.31, z = 9.73
i = 1461, x = 11.51, y = 0.29, z = 12.78
i = 1464, x = 11.51, y = 0.29, z = 9.73
i = 1467, x = 12.39, y = -6.74, z = 9.73
i = 1470, x = 12.39, y = -7.31, z = 7.72
i = 1473, x = 12.39, y = -6.74, z = 7.72
i = 1476, x = 12.39, y = -6.74, z = 16.40
i = 1479, x = 12.39, y = -7.31, z = 15.53
i = 1482, x = 12.39, y = -6.74, z = 15.53
i = 1485, x = 12.39, y = -6.74, z = 15.53
i = 1488, x = 12.39, y = -7.31, z = 14.65
i = 1491, x = 12.39, y = -6.74, z = 14.65
i = 1494, x = 12.39, y = -6.74, z = 7.72
i = 1497, x = 12.39, y = -7.31, z = 4.98
i = 1500, x = 12.39, y = -6.74, z = 4.98
i = 1503, x = 12.39, y = -6.74, z = 14.65
i = 1506, x = 12.39, y = -7.31, z = 12.78
i = 1509, x = 12.39, y = -6.74, z = 12.78
i = 1512, x = 12.39, y = -6.74, z = 9.73
i = 1515, x = 12.39, y = -7.31, z = 12.78
i = 1518, x = 12.39, y = -7.31, z = 9.73
i = 1521, x = 12.39, y = -7.31, z = 4.98
i = 1524, x = 12.39, y = -6.74, z = -16.40
i = 1527, x = 12.39, y = -6.74, z = 4.98
i = 1530, x = 0.96, y = -6.74, z = 16.40
i = 1533, x = 3.60, y = -7.56, z = 16.40
i = 1536, x = 3.60, y = -6.74, z = 16.40
i = 1539, x = 12.39, y = 0.29, z = 4.94
i = 1542, x = 12.39, y = 0.29, z = -16.40
i = 1545, x = 12.39, y = 0.74, z = -15.53
i = 1548, x = -5.19, y = -6.74, z = 16.40
i = 1551, x = -4.31, y = -7.76, z = 16.40
i = 1554, x = -4.31, y = -6.74, z = 16.40
i = 1557, x = 3.60, y = -6.74, z = 16.40
i = 1560, x = 6.23, y = -7.56, z = 16.40
i = 1563, x = 6.23, y = -6.74, z = 16.40
i = 1566, x = 6.23, y = -6.74, z = 16.40
i = 1569, x = 8.87, y = -7.56, z = 16.40
i = 1572, x = 8.87, y = -6.74, z = 16.40
i = 1575, x = 8.87, y = -6.74, z = 16.40
i = 1578, x = 11.51, y = -7.56, z = 16.40
i = 1581, x = 11.51, y = -6.74, z = 16.40
i = 1584, x = -4.31, y = -6.74, z = 16.40
i = 1587, x = -1.68, y = -7.76, z = 16.40
i = 1590, x = -1.68, y = -6.74, z = 16.40
i = 1593, x = -1.68, y = -6.74, z = 16.40
i = 1596, x = 0.96, y = -7.76, z = 16.40
i = 1599, x = 0.96, y = -6.74, z = 16.40
i = 1602, x = 11.51, y = -6.74, z = 16.40
i = 1605, x = 12.39, y = -7.56, z = 16.40
i = 1608, x = 12.39, y = -6.74, z = 16.40
i = 1611, x = -5.19, y = -6.74, z = 15.53
i = 1614, x = -5.19, y = -7.76, z = 16.40
i = 1617, x = -5.19, y = -6.74, z = 16.40
i = 1620, x = -5.19, y = -6.74, z = 5.86
i = 1623, x = -5.19, y = -7.76, z = 15.53
i = 1626, x = -5.19, y = -6.74, z = 15.53
i = 1629, x = -12.38, y = -6.74, z = 5.86
i = 1632, x = -11.21, y = -7.76, z = 5.86
i = 1635, x = -11.21, y = -6.74, z = 5.86
i = 1638, x = -11.21, y = -6.74, z = 5.86
i = 1641, x = -5.19, y = -7.76, z = 5.86
i = 1644, x = -5.19, y = -6.74, z = 5.86
i = 1647, x = -12.40, y = -6.74, z = -15.53
i = 1650, x = -12.38, y = -7.76, z = 4.98
i = 1653, x = -12.38, y = -6.74, z = 4.98
i = 1656, x = -12.38, y = -6.74, z = 4.98
i = 1659, x = -12.38, y = -7.76, z = 5.86
i = 1662, x = -12.38, y = -6.74, z = 5.86
i = 1665, x = -12.40, y = -7.76, z = -16.40
i = 1668, x = -12.40, y = -6.74, z = -15.53
i = 1671, x = -12.40, y = -6.74, z = -16.40
i = 1674, x = 12.39, y = -7.37, z = -16.40
i = 1677, x = -12.40, y = -6.74, z = -16.40
i = 1680, x = 12.39, y = -6.74, z = -16.40
i = 1683, x = 6.23, y = 7.76, z = 16.40
i = 1686, x = 8.87, y = 7.76, z = 16.40
i = 1689, x = 8.87, y = 7.76, z = 15.53
i = 1692, x = 11.51, y = 7.76, z = 16.40
i = 1695, x = 11.51, y = 7.76, z = 15.53
i = 1698, x = 8.87, y = 7.76, z = 15.53
i = 1701, x = 8.87, y = 7.76, z = 15.53
i = 1704, x = 6.23, y = 7.76, z = 15.53
i = 1707, x = 6.23, y = 7.76, z = 16.40
i = 1710, x = 3.60, y = 7.76, z = 15.53
i = 1713, x = 0.96, y = 7.76, z = 15.53
i = 1716, x = 0.96, y = 7.76, z = 16.40
i = 1719, x = -1.17, y = 7.76, z = 15.53
i = 1722, x = -4.31, y = 7.76, z = 15.53
i = 1725, x = -4.31, y = 7.76, z = 16.40
i = 1728, x = -1.16, y = 7.76, z = 16.40
i = 1731, x = 0.96, y = 7.76, z = 16.40
i = 1734, x = 0.96, y = 7.76, z = 15.53
i = 1737, x = -1.17, y = 7.76, z = 15.53
i = 1740, x = -4.31, y = 7.76, z = 16.40
i = 1743, x = -1.16, y = 7.76, z = 16.40
i = 1746, x = 11.51, y = 7.76, z = 16.40
i = 1749, x = 8.87, y = 7.76, z = 15.53
i = 1752, x = 8.87, y = 7.76, z = 16.40
i = 1755, x = 0.96, y = 7.76, z = 15.53
i = 1758, x = -1.17, y = 7.76, z = 15.53
i = 1761, x = -1.16, y = 7.76, z = 16.40
i = 1764, x = 3.60, y = 7.76, z = 16.40
i = 1767, x = 6.23, y = 7.76, z = 16.40
i = 1770, x = 3.60, y = 7.76, z = 15.53
i = 1773, x = 3.60, y = 7.76, z = 15.53
i = 1776, x = 0.96, y = 7.76, z = 16.40
i = 1779, x = 3.60, y = 7.76, z = 16.40
i = 1782, x = 5.57, y = 7.76, z = -16.40
i = 1785, x = 3.25, y = 7.76, z = -16.40
i = 1788, x = 3.25, y = 7.76, z = -15.53
i = 1791, x = -1.24, y = 7.76, z = -16.40
i = 1794, x = -3.73, y = 7.76, z = -16.40
i = 1797, x = -3.73, y = 7.76, z = -15.53
i = 1800, x = 3.25, y = 7.76, z = -16.40
i = 1803, x = 1.27, y = 7.76, z = -16.40
i = 1806, x = 3.25, y = 7.76, z = -15.53
i = 1809, x = -6.00, y = 7.76, z = -16.40
i = 1812, x = -8.73, y = 7.76, z = -16.40
i = 1815, x = -8.73, y = 7.76, z = -15.53
i = 1818, x = 1.27, y = 7.76, z = -16.40
i = 1821, x = -1.24, y = 7.76, z = -16.40
i = 1824, x = 1.27, y = 7.76, z = -15.53
i = 1827, x = 9.88, y = 7.76, z = -16.40
i = 1830, x = 7.55, y = 7.76, z = -16.40
i = 1833, x = 9.88, y = 7.76, z = -15.53
i = 1836, x = 11.51, y = 7.76, z = -15.53
i = 1839, x = 11.51, y = 7.76, z = -16.40
i = 1842, x = 9.88, y = 7.76, z = -16.40
i = 1845, x = 5.57, y = 7.76, z = -15.53
i = 1848, x = 7.55, y = 7.76, z = -15.53
i = 1851, x = 5.57, y = 7.76, z = -16.40
i = 1854, x = 9.88, y = 7.76, z = -15.53
i = 1857, x = 11.51, y = 7.76, z = -15.53
i = 1860, x = 9.88, y = 7.76, z = -16.40
i = 1863, x = 9.88, y = 7.76, z = -15.53
i = 1866, x = 7.55, y = 7.76, z = -16.40
i = 1869, x = 7.55, y = 7.76, z = -15.53
i = 1872, x = 1.27, y = 7.76, z = -15.53
i = 1875, x = 3.25, y = 7.76, z = -15.53
i = 1878, x = 1.27, y = 7.76, z = -16.40
i = 1881, x = 7.55, y = 7.76, z = -15.53
i = 1884, x = 7.55, y = 7.76, z = -16.40
i = 1887, x = 5.57, y = 7.76, z = -16.40
i = 1890, x = -8.73, y = 7.76, z = -16.40
i = 1893, x = -11.22, y = 7.76, z = -16.40
i = 1896, x = -11.22, y = 7.76, z = -15.53
i = 1899, x = 5.57, y = 7.76, z = -15.53
i = 1902, x = 5.57, y = 7.76, z = -16.40
i = 1905, x = 3.25, y = 7.76, z = -15.53
i = 1908, x = -3.73, y = 7.76, z = -15.53
i = 1911, x = -1.24, y = 7.76, z = -15.53
i = 1914, x = -1.24, y = 7.76, z = -16.40
i = 1917, x = 1.27, y = 7.76, z = -15.53
i = 1920, x = -1.24, y = 7.76, z = -16.40
i = 1923, x = -1.24, y = 7.76, z = -15.53
i = 1926, x = -8.73, y = 7.76, z = -16.40
i = 1929, x = -11.22, y = 7.76, z = -15.53
i = 1932, x = -8.73, y = 7.76, z = -15.53
i = 1935, x = -6.00, y = 7.76, z = -15.53
i = 1938, x = -3.73, y = 7.76, z = -15.53
i = 1941, x = -6.00, y = 7.76, z = -16.40
i = 1944, x = -6.00, y = 7.76, z = -16.40
i = 1947, x = -8.73, y = 7.76, z = -15.53
i = 1950, x = -6.00, y = 7.76, z = -15.53
i = 1953, x = 11.51, y = 7.76, z = 16.40
i = 1956, x = 12.38, y = 7.76, z = 16.40
i = 1959, x = 12.38, y = 7.76, z = 15.53
i = 1962, x = 11.51, y = 7.76, z = -15.53
i = 1965, x = 12.38, y = 7.76, z = -15.53
i = 1968, x = 12.38, y = 7.76, z = -16.40
i = 1971, x = -5.19, y = 7.76, z = 15.53
i = 1974, x = -5.19, y = 7.76, z = 16.40
i = 1977, x = -4.31, y = 7.76, z = 16.40
i = 1980, x = 12.38, y = 7.76, z = 15.53
i = 1983, x = 12.38, y = 7.76, z = 14.65
i = 1986, x = 11.51, y = 7.76, z = 14.65
i = 1989, x = -5.19, y = 7.76, z = 4.98
i = 1992, x = -11.22, y = 7.75, z = 4.98
i = 1995, x = -11.21, y = 7.76, z = 5.86
i = 1998, x = -11.22, y = 7.75, z = 4.98
i = 2001, x = -12.38, y = 7.75, z = 4.98
i = 2004, x = -12.38, y = 7.76, z = 5.86
i = 2007, x = -12.38, y = 7.75, z = 4.98
i = 2010, x = -11.22, y = 7.75, z = 4.98
i = 2013, x = -11.22, y = 7.76, z = -15.53
i = 2016, x = -12.40, y = 7.76, z = -16.40
i = 2019, x = -12.40, y = 7.75, z = -15.53
i = 2022, x = -11.22, y = 7.76, z = -15.53
i = 2025, x = -5.19, y = 7.76, z = 4.98
i = 2028, x = -5.19, y = 7.76, z = 5.86
i = 2031, x = -4.31, y = 7.76, z = 5.86
i = 2034, x = 12.38, y = 7.76, z = 5.89
i = 2037, x = 12.38, y = 7.76, z = 4.94
i = 2040, x = 11.51, y = 7.76, z = 4.98
i = 2043, x = 12.38, y = 7.76, z = 4.94
i = 2046, x = 12.38, y = 7.76, z = -15.53
i = 2049, x = 11.51, y = 7.76, z = -15.53
i = 2052, x = -11.22, y = 7.75, z = 4.98
i = 2055, x = -5.19, y = 7.76, z = 4.98
i = 2058, x = -11.22, y = 7.76, z = -15.53
i = 2061, x = -4.31, y = 7.76, z = 4.98
i = 2064, x = 11.51, y = 7.76, z = 4.98
i = 2067, x = 11.51, y = 7.76, z = -15.53
i = 2070, x = 11.51, y = 7.76, z = -15.53
i = 2073, x = -11.22, y = 7.76, z = -15.53
i = 2076, x = -4.31, y = 7.76, z = 4.98
i = 2079, x = 11.51, y = 7.76, z = 5.86
i = 2082, x = 11.51, y = 7.76, z = 4.98
i = 2085, x = -4.31, y = 7.76, z = 4.98
i = 2088, x = 11.51, y = 7.76, z = 15.53
i = 2091, x = 11.51, y = 7.76, z = 14.65
i = 2094, x = -4.31, y = 7.76, z = 15.53
i = 2097, x = 11.51, y = 7.76, z = 5.86
i = 2100, x = -4.31, y = 7.76, z = 5.86
i = 2103, x = 11.51, y = 7.76, z = 14.65
i = 2106, x = 11.51, y = 7.76, z = 14.65
i = 2109, x = 12.38, y = 7.76, z = 14.65
i = 2112, x = 12.38, y = 7.76, z = 5.89
i = 2115, x = -5.19, y = 7.76, z = 15.53
i = 2118, x = -4.31, y = 7.76, z = 15.53
i = 2121, x = -4.31, y = 7.76, z = 5.86
i = 2124, x = -5.19, y = -6.74, z = 16.40
i = 2127, x = -5.19, y = -5.02, z = 16.40
i = 2130, x = -5.19, y = -5.02, z = 15.53
i = 2133, x = -4.31, y = -6.74, z = 16.40
i = 2136, x = -4.31, y = -5.02, z = 16.40
i = 2139, x = -5.19, y = -5.02, z = 16.40
i = 2142, x = 12.39, y = 0.29, z = 14.65
i = 2145, x = 12.39, y = -1.51, z = 14.65
i = 2148, x = 12.39, y = -1.31, z = 12.78
i = 2151, x = 12.39, y = 0.29, z = -16.40
i = 2154, x = 12.39, y = 0.29, z = -15.53
i = 2157, x = 12.39, y = -6.74, z = -15.53
i = 2160, x = 12.39, y = -6.74, z = 16.40
i = 2163, x = 12.39, y = -5.02, z = 16.40
i = 2166, x = 11.51, y = -5.02, z = 16.40
i = 2169, x = -4.31, y = -5.02, z = 16.40
i = 2172, x = -4.31, y = -1.51, z = 16.40
i = 2175, x = -5.19, y = -1.51, z = 16.40
i = 2178, x = 11.51, y = -5.02, z = 16.40
i = 2181, x = 11.51, y = -1.51, z = 16.40
i = 2184, x = 8.87, y = -1.51, z = 16.40
i = 2187, x = 12.39, y = -6.74, z = 14.65
i = 2190, x = 12.39, y = -6.74, z = 12.78
i = 2193, x = 12.39, y = -5.02, z = 12.78
i = 2196, x = 12.39, y = -6.74, z = 7.72
i = 2199, x = 12.39, y = -6.74, z = 9.73
i = 2202, x = 11.51, y = -6.74, z = 9.73
i = 2205, x = 11.51, y = -6.74, z = 9.73
i = 2208, x = 11.51, y = -6.74, z = 4.98
i = 2211, x = 12.39, y = -6.74, z = 7.72
i = 2214, x = 11.51, y = -6.74, z = 16.40
i = 2217, x = 11.51, y = -5.02, z = 16.40
i = 2220, x = 8.87, y = -5.02, z = 16.40
i = 2223, x = 6.23, y = -5.02, z = 16.40
i = 2226, x = 6.23, y = -1.51, z = 16.40
i = 2229, x = 3.60, y = -1.51, z = 16.40
i = 2232, x = 12.39, y = -6.74, z = -15.53
i = 2235, x = 12.39, y = -6.74, z = 4.98
i = 2238, x = 11.51, y = -6.74, z = 4.98
i = 2241, x = -1.68, y = -6.74, z = 16.40
i = 2244, x = -1.68, y = -5.02, z = 16.40
i = 2247, x = -4.31, y = -5.02, z = 16.40
i = 2250, x = 0.96, y = -6.74, z = 16.40
i = 2253, x = 0.96, y = -5.02, z = 16.40
i = 2256, x = -1.68, y = -5.02, z = 16.40
i = 2259, x = 3.60, y = -6.74, z = 16.40
i = 2262, x = 3.60, y = -5.02, z = 16.40
i = 2265, x = 0.96, y = -5.02, z = 16.40
i = 2268, x = 6.23, y = -6.74, z = 16.40
i = 2271, x = 6.23, y = -5.02, z = 16.40
i = 2274, x = 3.60, y = -5.02, z = 16.40
i = 2277, x = 8.87, y = -6.74, z = 16.40
i = 2280, x = 8.87, y = -5.02, z = 16.40
i = 2283, x = 6.23, y = -5.02, z = 16.40
i = 2286, x = 3.60, y = -5.02, z = 16.40
i = 2289, x = 3.60, y = -1.51, z = 16.40
i = 2292, x = 0.96, y = -1.51, z = 16.40
i = 2295, x = -5.19, y = -5.02, z = 16.40
i = 2298, x = -5.19, y = -1.51, z = 16.40
i = 2301, x = -5.19, y = -1.51, z = 15.53
i = 2304, x = 12.39, y = -5.02, z = 15.53
i = 2307, x = 12.39, y = -1.51, z = 15.53
i = 2310, x = 12.39, y = -1.51, z = 16.40
i = 2313, x = 12.39, y = -5.02, z = 16.40
i = 2316, x = 12.39, y = -1.51, z = 16.40
i = 2319, x = 11.51, y = -1.51, z = 16.40
i = 2322, x = 9.88, y = -5.02, z = -16.40
i = 2325, x = 9.88, y = -1.51, z = -16.40
i = 2328, x = 11.51, y = -1.51, z = -16.40
i = 2331, x = -1.68, y = -5.02, z = 16.40
i = 2334, x = -1.68, y = -1.51, z = 16.40
i = 2337, x = -4.31, y = -1.51, z = 16.40
i = 2340, x = 1.27, y = -5.02, z = -16.40
i = 2343, x = 1.27, y = -1.51, z = -16.40
i = 2346, x = 3.25, y = -1.51, z = -16.40
i = 2349, x = -4.31, y = -1.51, z = 16.40
i = 2352, x = -4.31, y = 0.29, z = 16.40
i = 2355, x = -5.19, y = 0.29, z = 16.40
i = 2358, x = -5.19, y = -6.74, z = 15.53
i = 2361, x = -5.19, y = -5.02, z = 15.53
i = 2364, x = -5.19, y = -6.74, z = 5.86
i = 2367, x = -5.19, y = -1.51, z = 15.53
i = 2370, x = -5.19, y = 0.29, z = 15.53
i = 2373, x = -5.19, y = 0.29, z = 5.86
i = 2376, x = -5.19, y = 0.29, z = 5.86
i = 2379, x = -5.19, y = -6.74, z = 5.86
i = 2382, x = -5.19, y = -1.51, z = 15.53
i = 2385, x = 8.87, y = 0.29, z = 16.40
i = 2388, x = 6.23, y = 0.29, z = 16.40
i = 2391, x = 6.23, y = -1.51, z = 16.40
i = 2394, x = 11.51, y = -1.51, z = 16.40
i = 2397, x = 11.51, y = 0.29, z = 16.40
i = 2400, x = 8.87, y = 0.29, z = 16.40
i = 2403, x = 0.96, y = 0.29, z = 16.40
i = 2406, x = -1.68, y = 0.29, z = 16.40
i = 2409, x = -1.68, y = -1.51, z = 16.40
i = 2412, x = -1.24, y = 0.29, z = -16.40
i = 2415, x = 1.27, y = 0.29, z = -16.40
i = 2418, x = 1.27, y = -1.51, z = -16.40
i = 2421, x = -5.19, y = -1.51, z = 16.40
i = 2424, x = -5.19, y = 0.29, z = 16.40
i = 2427, x = -5.19, y = 0.29, z = 15.53
i = 2430, x = -1.68, y = -1.51, z = 16.40
i = 2433, x = -1.68, y = 0.29, z = 16.40
i = 2436, x = -4.31, y = 0.29, z = 16.40
i = 2439, x = 3.60, y = -1.51, z = 16.40
i = 2442, x = 3.60, y = 0.29, z = 16.40
i = 2445, x = 0.96, y = 0.29, z = 16.40
i = 2448, x = 6.23, y = -1.51, z = 16.40
i = 2451, x = 6.23, y = 0.29, z = 16.40
i = 2454, x = 3.60, y = 0.29, z = 16.40
i = 2457, x = 12.39, y = -1.51, z = 16.40
i = 2460, x = 12.39, y = -1.51, z = 15.53
i = 2463, x = 12.39, y = 0.29, z = 15.53
i = 2466, x = 12.39, y = -1.51, z = 16.40
i = 2469, x = 12.39, y = 0.29, z = 16.40
i = 2472, x = 11.51, y = 0.29, z = 16.40
i = 2475, x = 12.39, y = -1.51, z = 14.65
i = 2478, x = 12.39, y = 0.29, z = 14.65
i = 2481, x = 12.39, y = 0.29, z = 15.53
i = 2484, x = 12.39, y = -5.02, z = 14.65
i = 2487, x = 12.39, y = -1.51, z = 14.65
i = 2490, x = 12.39, y = -1.51, z = 15.53
i = 2493, x = 12.39, y = -1.36, z = 7.72
i = 2496, x = 12.39, y = 0.29, z = 7.66
i = 2499, x = 12.39, y = 0.29, z = 9.73
i = 2502, x = 12.39, y = -5.02, z = 9.73
i = 2505, x = 12.39, y = -5.02, z = 7.72
i = 2508, x = 12.39, y = -1.36, z = 7.72
i = 2511, x = 12.39, y = -6.74, z = 9.73
i = 2514, x = 12.39, y = -6.74, z = 7.72
i = 2517, x = 12.39, y = -5.02, z = 7.72
i = 2520, x = -5.19, y = -6.74, z = 5.86
i = 2523, x = -5.19, y = 0.29, z = 5.86
i = 2526, x = -11.21, y = 0.29, z = 5.86
i = 2529, x = -12.38, y = -6.74, z = 4.98
i = 2532, x = -12.38, y = 0.28, z = 4.98
i = 2535, x = -12.40, y = 0.28, z = -15.53
i = 2538, x = -12.38, y = 0.28, z = 4.98
i = 2541, x = -12.38, y = -6.74, z = 4.98
i = 2544, x = -12.38, y = -6.74, z = 5.86
i = 2547, x = -11.21, y = 0.29, z = 5.86
i = 2550, x = -12.38, y = 0.29, z = 5.86
i = 2553, x = -12.38, y = -6.74, z = 5.86
i = 2556, x = 3.25, y = -1.51, z = -16.40
i = 2559, x = 3.25, y = 0.29, z = -16.40
i = 2562, x = 5.57, y = 0.29, z = -16.40
i = 2565, x = 12.39, y = -1.36, z = 7.72
i = 2568, x = 12.39, y = -5.02, z = 7.72
i = 2571, x = 12.39, y = -6.74, z = 4.98
i = 2574, x = 12.39, y = -6.74, z = 4.98
i = 2577, x = 12.39, y = -6.74, z = -15.53
i = 2580, x = 12.39, y = 0.29, z = -15.53
i = 2583, x = 12.39, y = -5.02, z = 7.72
i = 2586, x = 12.39, y = -6.74, z = 7.72
i = 2589, x = 12.39, y = -6.74, z = 4.98
i = 2592, x = 12.39, y = 0.29, z = -15.53
i = 2595, x = 12.39, y = 0.29, z = 7.66
i = 2598, x = 12.39, y = -6.74, z = 4.98
i = 2601, x = 5.57, y = -5.02, z = -16.40
i = 2604, x = 5.57, y = -6.74, z = -16.40
i = 2607, x = 3.25, y = -6.74, z = -16.40
i = 2610, x = 7.55, y = -1.51, z = -16.40
i = 2613, x = 7.55, y = 0.29, z = -16.40
i = 2616, x = 9.88, y = 0.29, z = -16.40
i = 2619, x = 9.88, y = -5.02, z = -16.40
i = 2622, x = 9.88, y = -6.74, z = -16.40
i = 2625, x = 7.55, y = -6.74, z = -16.40
i = 2628, x = 1.27, y = -5.02, z = -16.40
i = 2631, x = 1.27, y = -6.74, z = -16.40
i = 2634, x = -1.24, y = -6.74, z = -16.40
i = 2637, x = 9.88, y = -6.74, z = -16.40
i = 2640, x = 9.88, y = -5.02, z = -16.40
i = 2643, x = 11.51, y = -5.02, z = -16.40
i = 2646, x = 7.55, y = -5.02, z = -16.40
i = 2649, x = 7.55, y = -6.74, z = -16.40
i = 2652, x = 5.57, y = -6.74, z = -16.40
i = 2655, x = 3.25, y = -6.74, z = -16.40
i = 2658, x = 1.27, y = -6.74, z = -16.40
i = 2661, x = 1.27, y = -5.02, z = -16.40
i = 2664, x = -8.73, y = -6.74, z = -16.40
i = 2667, x = -11.22, y = -6.74, z = -16.40
i = 2670, x = -11.22, y = -4.99, z = -16.40
i = 2673, x = 1.27, y = -1.51, z = -16.40
i = 2676, x = 1.27, y = 0.29, z = -16.40
i = 2679, x = 3.25, y = 0.29, z = -16.40
i = 2682, x = 5.57, y = -1.51, z = -16.40
i = 2685, x = 5.57, y = 0.29, z = -16.40
i = 2688, x = 7.55, y = 0.29, z = -16.40
i = 2691, x = 7.55, y = -1.51, z = -16.40
i = 2694, x = 7.55, y = -5.02, z = -16.40
i = 2697, x = 5.57, y = -5.02, z = -16.40
i = 2700, x = 9.88, y = 0.29, z = -16.40
i = 2703, x = 11.51, y = 0.29, z = -16.40
i = 2706, x = 11.51, y = -1.51, z = -16.40
i = 2709, x = -8.73, y = -4.99, z = -16.40
i = 2712, x = -11.22, y = -4.99, z = -16.40
i = 2715, x = -11.22, y = -1.47, z = -16.40
i = 2718, x = -3.73, y = -6.74, z = -16.40
i = 2721, x = -6.00, y = -6.74, z = -16.40
i = 2724, x = -6.00, y = -4.99, z = -16.40
i = 2727, x = -1.24, y = -6.74, z = -16.40
i = 2730, x = -3.73, y = -6.74, z = -16.40
i = 2733, x = -3.73, y = -4.99, z = -16.40
i = 2736, x = -3.73, y = -1.47, z = -16.40
i = 2739, x = -6.00, y = -1.47, z = -16.40
i = 2742, x = -6.00, y = 0.29, z = -16.40
i = 2745, x = -1.24, y = -1.47, z = -16.40
i = 2748, x = -3.73, y = -1.47, z = -16.40
i = 2751, x = -3.73, y = 0.29, z = -16.40
i = 2754, x = -8.73, y = -1.47, z = -16.40
